City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,scarborough,54.2797,-0.4044,15.76,72,100,0.89,GB,1690223505
240,alice springs,-23.7,133.8833,4.75,81,0,0.0,AU,1690223440
241,trondheim,63.4305,10.3951,20.03,79,98,1.98,NO,1690223733
242,lobamba,-26.4667,31.2,13.16,85,100,2.08,SZ,1690223733
243,sao joao da barra,-21.6403,-41.0511,26.05,73,0,6.01,BR,1690223733
244,ozersk,55.7556,60.7028,16.29,82,100,1.95,RU,1690223734
245,yamada,39.4667,141.95,23.02,86,98,2.15,JP,1690223734
246,dapa,9.7594,126.0531,28.33,74,100,5.61,PH,1690223734
247,papao,-17.75,-149.55,26.82,84,6,10.23,PF,1690223735
248,ajdabiya,30.7554,20.2263,33.21,38,0,7.67,LY,1690223735
249,zhangye,38.9342,100.4517,26.25,27,52,3.51,CN,1690223735
250,lycksele,64.5954,18.6735,15.93,82,100,1.54,SE,1690223487
251,funafuti,-8.5243,179.1942,28.0,89,100,7.2,TV,1690223735
252,asau,46.4333,26.4,24.51,61,7,2.85,RO,1690223736
253,ad dilam,23.9915,47.1627,39.23,8,100,3.04,SA,1690223448
254,clifton,40.8584,-74.1638,31.64,47,0,4.63,US,1690223626
255,la tuque,47.4334,-72.7824,27.14,47,76,3.09,CA,1690223736
256,charters towers,-20.1,146.2667,10.31,89,77,4.25,AU,1690223736
257,ust'-ordynskiy,52.805,104.7508,12.88,92,9,1.32,RU,1690223607
258,val-d'or,48.1002,-77.7828,17.05,94,100,4.63,CA,1690223579
259,ibaiti,-23.8486,-50.1878,22.68,48,19,0.92,BR,1690223737
260,zuyevka,58.405,51.1335,13.04,94,2,2.12,RU,1690223737
261,perry,37.2506,-83.1999,32.1,35,0,1.89,US,1690223609
262,santa cruz,-17.8,-63.1667,27.7,50,75,5.14,BO,1690223738
263,berezovyy,51.6667,135.7,18.8,88,100,1.56,RU,1690223738
264,grootfontein,-19.5667,18.1167,16.76,31,0,1.54,NA,1690223738
265,al matlin,37.2452,10.05,44.77,47,0,2.58,TN,1690223738
266,susuman,62.7833,148.1667,12.26,70,23,1.37,RU,1690223739
267,crane,31.3974,-102.3501,37.65,16,0,5.62,US,1690223739
268,afaahiti,-17.75,-149.2833,25.93,85,6,9.12,PF,1690223739
269,sao miguel do araguaia,-13.275,-50.1628,33.69,21,0,2.72,BR,1690223739
270,ust'-donetskiy,47.6419,40.8718,21.24,68,11,3.05,RU,1690223740
271,saipan,15.1355,145.701,27.39,100,20,3.6,MP,1690223740
272,lompoc,34.6391,-120.4579,33.34,73,75,2.57,US,1690223740
273,marshall,34.3834,-86.3333,31.27,54,0,3.09,US,1690223740
274,ketchikan,55.3422,-131.6461,18.26,72,0,5.66,US,1690223740
275,deqen,29.9618,90.7188,10.47,92,100,1.69,CN,1690223741
276,sungai raya,0.7,108.9,25.7,88,94,3.46,ID,1690223741
277,oriximina,-1.7656,-55.8661,34.63,37,6,2.95,BR,1690223741
278,newnham,-41.3833,147.1333,5.93,93,100,2.06,AU,1690223741
279,alvarado,18.7667,-95.7667,24.47,90,100,2.71,MX,1690223742
280,playa del carmen,20.6274,-87.0799,34.01,76,75,4.63,MX,1690223742
281,pollock pines,38.7613,-120.5866,29.83,27,0,4.47,US,1690223742
282,san julian,21.0167,-102.1667,25.98,35,65,3.56,MX,1690223742
283,mount gambier,-37.8333,140.7667,9.18,80,85,0.34,AU,1690223743
284,noumea,-22.2763,166.4572,20.0,99,100,2.22,NC,1690223743
285,lihue,21.9789,-159.3672,26.77,78,100,7.72,US,1690223743
286,saint-philippe,-21.3585,55.7679,20.77,84,38,3.29,RE,1690223506
287,hukumati azrah,34.1736,69.6457,18.64,72,25,0.23,AF,1690223743
288,cavalaire-sur-mer,43.174,6.5272,32.4,80,100,2.21,FR,1690223744
289,hirara,24.8,125.2833,28.15,83,75,4.63,JP,1690223496
290,carnarvon,-24.8667,113.6333,15.82,76,4,4.87,AU,1690223744
291,vilyuysk,63.7553,121.6247,17.8,93,100,4.12,RU,1690223639
292,jayapura,-2.5333,140.7,24.66,90,88,1.46,ID,1690223745
293,ceeldheer,3.8488,47.1806,24.96,78,24,9.69,SO,1690223745
294,parun,35.4207,70.9221,16.55,76,95,0.93,AF,1690223745
295,phan rang-thap cham,11.5667,108.9833,25.67,87,99,2.04,VN,1690223745
296,barra,-11.0894,-43.1417,29.33,37,27,5.97,BR,1690223745
297,yunak,38.8142,31.7322,22.76,37,0,5.03,TR,1690223746
298,hanceville,34.0607,-86.7675,31.95,39,0,1.4,US,1690223664
299,wenling,28.3669,121.36,26.26,92,12,1.78,CN,1690223746
300,aswan,24.0934,32.907,36.03,15,6,1.51,EG,1690223746
301,kofele,7.0667,38.7833,11.56,92,100,1.85,ET,1690223747
302,tonghae,37.5439,129.1069,24.45,86,100,3.08,KR,1690223747
303,conde,-7.2597,-34.9075,27.7,65,40,6.17,BR,1690223747
304,nizhniy kuranakh,58.8353,125.4869,16.41,90,100,0.93,RU,1690223747
305,necochea,-38.5473,-58.7368,8.72,58,75,4.29,AR,1690223748
306,mangaratiba,-22.9597,-44.0406,30.48,73,24,1.04,BR,1690223748
307,katsuren-haebaru,26.3369,127.8719,28.21,83,20,2.57,JP,1690223748
308,la passe,45.5549,-0.8967,22.13,75,89,7.41,FR,1690223748
309,maun,-19.9833,23.4167,17.72,19,4,2.77,BW,1690223748
310,nuuk,64.1835,-51.7216,14.34,58,20,3.09,GL,1690223749
311,kavieng,-2.5744,150.7967,27.3,78,100,4.51,PG,1690223749
312,pinarbasi,38.7229,36.3931,15.44,83,11,4.04,TR,1690223749
313,grand falls-windsor,48.9332,-55.6649,26.12,65,100,4.24,CA,1690223749
314,broken hill,-31.95,141.4333,5.91,91,0,4.32,AU,1690223536
315,east london,-33.0153,27.9116,11.52,71,0,2.06,ZA,1690223750
316,heroica caborca,30.7167,-112.15,38.93,24,82,2.79,MX,1690223750
317,selogiri,-7.7833,110.8667,21.7,85,85,0.99,ID,1690223750
318,jalasjarvi,62.5,22.75,15.35,99,100,1.71,FI,1690223750
319,coquimbo,-29.9533,-71.3436,16.85,72,0,4.63,CL,1690223751
320,whitecourt,54.1502,-115.6855,21.58,78,75,4.63,CA,1690223751
321,zouerate,22.7187,-12.4521,37.14,14,5,6.14,MR,1690223496
322,st. john's,47.5649,-52.7093,25.15,83,75,9.77,CA,1690223513
323,la asuncion,11.0333,-63.8628,28.6,73,25,7.07,VE,1690223697
324,port hueneme,34.1478,-119.1951,39.0,75,100,4.63,US,1690223752
325,cedar city,37.6775,-113.0619,31.54,28,0,8.23,US,1690223647
326,atafu village,-8.5421,-172.5159,28.98,70,17,7.77,TK,1690223752
327,ghadamis,30.1337,9.5007,37.42,11,0,3.56,LY,1690223753
328,ziway,7.9333,38.7167,18.46,87,100,3.95,ET,1690223753
329,suntar,62.1444,117.6319,19.0,71,17,0.83,RU,1690223753
